station,SO2,NO2,CO,O3,pollutant_level
Aotizhongxin,17.375901409358608,59.305833186451636,1262.9451453977408,56.353358410556304,348.9950596010268
Changping,14.958905587176211,44.182085507457046,1152.3013445428255,57.94000261752757,317.3455845637466
Dingling,11.749649653404788,27.585466754360038,904.8960728548954,68.54837092466765,253.19489004683197
Dongsi,18.531106607366066,53.69944280249828,1330.0691310760349,57.21063690116279,364.8775793467655
Guanyuan,17.590941497542644,57.901642517076006,1271.294377232746,55.79504428314302,350.6455013826269
Gucheng,15.366161622826056,55.87107495348296,1323.9744229569556,57.69487883500801,363.22663459206814
Huairou,12.121553010210068,32.49725021391174,1022.5545449140955,59.824712953734554,281.749515272988
Nongzhanguan,18.689242012825698,58.09717238740836,1324.3501978852855,58.53468229064182,364.9178236440403
Shunyi,13.572038687514807,43.90886473782605,1187.0639785927142,55.20132076247208,324.93655069513176
Tiantan,14.367615106345372,53.162645574009325,1298.303317814839,55.984296589813276,355.45446877125175
Wanliu,18.376480570616717,65.25878926575278,1319.3535125706724,48.87361389082744,362.9655990744674
Wanshouxigong,17.148603110917282,55.5295601369863,1370.3950306512274,56.22990353675043,374.82577435897036
